"",".variable",".value",".lower",".upper",".width",".point",".interval","variable","truncate","quantile"
"105","b_x3z",0.0045860259952357,-0.0607777450421194,0.0684182519021383,0.95,"median","qi","Tidal height",TRUE,0.05
"106","b_erapresent",-0.138189026137756,-0.208645770028275,-0.0680069785502721,0.8,"median","qi","Era",TRUE,0.05
"107","b_erapresent:x2z",0.0734848630268167,-0.0176036980910969,0.170029297202596,0.8,"median","qi","Era x Density",TRUE,0.05
"108","b_erapresent:x3z",0.0040488895174841,-0.0467229733241384,0.0552289309108551,0.8,"median","qi","Era x Tidal height",TRUE,0.05
"109","b_x2z",-0.119167742831748,-0.211205516472686,-0.0346229990510349,0.8,"median","qi","Density",TRUE,0.05
"110","b_x3z",0.0045860259952357,-0.0383388786343958,0.0462969978683825,0.8,"median","qi","Tidal height",TRUE,0.05
"111","b_erapresent",-0.0397796554597863,-0.108624317145182,0.0297139485239766,0.95,"median","qi","Era",TRUE,0.5
"112","b_erapresent:x2z",-0.00378861105715,-0.0759927557521812,0.0679358052609116,0.95,"median","qi","Era x Density",TRUE,0.5
"113","b_erapresent:x3z",-0.00951495896912636,-0.0769602234020214,0.0560689348933329,0.95,"median","qi","Era x Tidal height",TRUE,0.5
"114","b_x2z",-0.00491537436533673,-0.0702022261236533,0.0609454128701176,0.95,"median","qi","Density",TRUE,0.5
"115","b_x3z",-0.0140077376014667,-0.0660246959839475,0.039564495663036,0.95,"median","qi","Tidal height",TRUE,0.5
"116","b_erapresent",-0.0397796554597863,-0.0832172159923362,0.00608120546429957,0.8,"median","qi","Era",TRUE,0.5
"117","b_erapresent:x2z",-0.00378861105715,-0.0501491221143782,0.0414432000008094,0.8,"median","qi","Era x Density",TRUE,0.5
"118","b_erapresent:x3z",-0.00951495896912636,-0.0529475276169171,0.0323153047472053,0.8,"median","qi","Era x Tidal height",TRUE,0.5
"119","b_x2z",-0.00491537436533673,-0.0485972005696189,0.0375420180767753,0.8,"median","qi","Density",TRUE,0.5
"120","b_x3z",-0.0140077376014667,-0.0472162882676133,0.0200810651740858,0.8,"median","qi","Tidal height",TRUE,0.5
